(595, 474)|(477, 594)
(473, 474)|(442, 594)
(436, 474)|(406, 594)
(400, 474)|(366, 594)
(360, 474)|(327, 594)
(321, 474)|(288, 594)
(282, 474)|(248, 594)
(244, 474)|(210, 594)
(205, 474)|(168, 594)
(164, 474)|(130, 594)
(124, 476)|(5, 594)
(125, 437)|(5, 470)
(125, 396)|(5, 432)
(125, 358)|(5, 390)
(125, 320)|(5, 352)
(125, 280)|(5, 314)
(125, 240)|(5, 275)
(125, 203)|(5, 236)
(125, 166)|(5, 197)
(125, 131)|(5, 161)
(125, 5)|(6, 125)
(164, 5)|(130, 125)
(205, 5)|(169, 125)
(244, 5)|(210, 125)
(283, 5)|(249, 125)
(322, 5)|(288, 125)
(361, 5)|(327, 125)
(401, 5)|(366, 125)
(437, 5)|(406, 125)
(473, 5)|(442, 125)
(596, 5)|(478, 125)
(597, 130)|(478, 160)
(597, 164)|(478, 196)
(597, 201)|(478, 235)
(597, 240)|(478, 274)
(597, 279)|(478, 312)
(597, 317)|(478, 351)
(597, 356)|(478, 390)
(597, 394)|(478, 431)
(597, 436)|(478, 468)
